Segment,Country,Customer_ID,Product,Product_ID,Discount Band,Units Sold, Manufacturing Price , Sale Price , Gross Sales ,  Sales , COGS , Profit ,Date,Month Number,Month Name,Year
Government,France,CUST_ID_042,VTT,PROD_ID_005,None,1527, $250.00 , $350.00 ," $534,450.00 "," $534,450.00 "," $397,020.00 "," $137,430.00 ",9/1/2018,9,Sep,2018
Small Business,France,CUST_ID_043,VTT,PROD_ID_001,None,2151, $250.00 , $300.00 ," $645,300.00 "," $645,300.00 "," $537,750.00 "," $107,550.00 ",9/1/2019,9,Sep,2019
Government,Canada,CUST_ID_026,VTT,PROD_ID_002,None,1817, $250.00 , $20.00 ," $36,340.00 "," $36,340.00 "," $18,170.00 "," $18,170.00 ",12/1/2019,12,Dec,2019
Government,France,CUST_ID_044,Amarilla,PROD_ID_002,None,2750, $260.00 , $350.00 ," $962,500.00 "," $962,500.00 "," $715,000.00 "," $247,500.00 ",2/1/2019,2,Feb,2019
Channel Partners,USA,CUST_ID_016,Amarilla,PROD_ID_003,None,1953, $260.00 , $12.00 ," $23,436.00 "," $23,436.00 "," $5,859.00 "," $17,577.00 ",4/1/2019,4,Apr,2019
Enterprise,Germany,CUST_ID_033,Amarilla,PROD_ID_004,None,4220, $260.00 , $125.00 ," $527,437.50 "," $527,437.50 "," $506,340.00 "," $21,097.50 ",4/1/2019,4,Apr,2019
Government,France,CUST_ID_045,Amarilla,PROD_ID_004,None,1899, $260.00 , $20.00 ," $37,980.00 "," $37,980.00 "," $18,990.00 "," $18,990.00 ",6/1/2019,6,Jun,2019
Government,Germany,CUST_ID_046,Amarilla,PROD_ID_006,None,1686, $260.00 , $7.00 ," $11,802.00 "," $11,802.00 "," $8,430.00 "," $3,372.00 ",7/1/2019,7,Jul,2019
Channel Partners,USA,CUST_ID_047,Amarilla,PROD_ID_006,None,2141, $260.00 , $12.00 ," $25,692.00 "," $25,692.00 "," $6,423.00 "," $19,269.00 ",8/1/2019,8,Aug,2019
Government,USA,CUST_ID_037,Amarilla,PROD_ID_001,None,1143, $260.00 , $7.00 ," $8,001.00 "," $8,001.00 "," $5,715.00 "," $2,286.00 ",10/1/2019,10,Oct,2019
Midmarket,USA,CUST_ID_004,Amarilla,PROD_ID_002,None,615, $260.00 , $15.00 ," $9,225.00 "," $9,225.00 "," $6,150.00 "," $3,075.00 ",12/1/2019,12,Dec,2019
Government,France,CUST_ID_035,Paseo,PROD_ID_006,Low,3945, $10.00 , $7.00 ," $27,615.00 "," $27,338.85 "," $19,725.00 "," $7,613.85 ",1/1/2019,1,Jan,2019
Midmarket,France,CUST_ID_048,Paseo,PROD_ID_005,Low,2296, $10.00 , $15.00 ," $34,440.00 "," $34,095.60 "," $22,960.00 "," $11,135.60 ",2/1/2019,2,Feb,2019
Government,France,CUST_ID_049,Paseo,PROD_ID_001,Low,1030, $10.00 , $7.00 ," $7,210.00 "," $7,137.90 "," $5,150.00 "," $1,987.90 ",5/1/2019,5,May,2019
Government,France,CUST_ID_050,Velo,PROD_ID_001,Low,639, $120.00 , $7.00 ," $4,473.00 "," $4,428.27 "," $3,195.00 "," $1,233.27 ",11/1/2019,11,Nov,2019
Government,Canada,CUST_ID_004,VTT,PROD_ID_002,Low,1326, $250.00 , $7.00 ," $9,282.00 "," $9,189.18 "," $6,630.00 "," $2,559.18 ",3/1/2019,3,Mar,2019
Channel Partners,USA,CUST_ID_004,Carretera,PROD_ID_002,Low,1858, $3.00 , $12.00 ," $22,296.00 "," $22,073.04 "," $5,574.00 "," $16,499.04 ",2/1/2019,2,Feb,2019
Government,Mexico,CUST_ID_051,Carretera,PROD_ID_002,Low,1210, $3.00 , $350.00 ," $423,500.00 "," $419,265.00 "," $314,600.00 "," $104,665.00 ",3/1/2019,3,Mar,2019
Government,USA,CUST_ID_004,Carretera,PROD_ID_002,Low,2529, $3.00 , $7.00 ," $17,703.00 "," $17,525.97 "," $12,645.00 "," $4,880.97 ",7/1/2019,7,Jul,2019
Channel Partners,Canada,CUST_ID_052,Carretera,PROD_ID_002,Low,1445, $3.00 , $12.00 ," $17,340.00 "," $17,166.60 "," $4,335.00 "," $12,831.60 ",9/1/2019,9,Sep,2019
Enterprise,USA,CUST_ID_038,Carretera,PROD_ID_002,Low,330, $3.00 , $125.00 ," $41,250.00 "," $40,837.50 "," $39,600.00 "," $1,237.50 ",9/1/2018,9,Sep,2018
Channel Partners,France,CUST_ID_053,Carretera,PROD_ID_003,Low,2671, $3.00 , $12.00 ," $32,052.00 "," $31,731.48 "," $8,013.00 "," $23,718.48 ",9/1/2019,9,Sep,2019
Channel Partners,Germany,CUST_ID_054,Carretera,PROD_ID_003,Low,766, $3.00 , $12.00 ," $9,192.00 "," $9,100.08 "," $2,298.00 "," $6,802.08 ",10/1/2018,10,Oct,2018
Small Business,Mexico,CUST_ID_055,Carretera,PROD_ID_004,Low,494, $3.00 , $300.00 ," $148,200.00 "," $146,718.00 "," $123,500.00 "," $23,218.00 ",10/1/2018,10,Oct,2018
Government,Mexico,CUST_ID_033,Carretera,PROD_ID_004,Low,1397, $3.00 , $350.00 ," $488,950.00 "," $484,060.50 "," $363,220.00 "," $120,840.50 ",10/1/2019,10,Oct,2019
Government,France,CUST_ID_056,Carretera,PROD_ID_004,Low,2155, $3.00 , $350.00 ," $754,250.00 "," $746,707.50 "," $560,300.00 "," $186,407.50 ",12/1/2019,12,Dec,2019
Midmarket,Mexico,CUST_ID_047,Montana,PROD_ID_006,Low,2214, $5.00 , $15.00 ," $33,210.00 "," $32,877.90 "," $22,140.00 "," $10,737.90 ",3/1/2019,3,Mar,2019
Small Business,USA,CUST_ID_036,Montana,PROD_ID_005,Low,2301, $5.00 , $300.00 ," $690,300.00 "," $683,397.00 "," $575,250.00 "," $108,147.00 ",4/1/2019,4,Apr,2019
Government,France,CUST_ID_057,Montana,PROD_ID_005,Low,1376, $5.00 , $20.00 ," $27,510.00 "," $27,234.90 "," $13,755.00 "," $13,479.90 ",7/1/2019,7,Jul,2019
Government,Canada,CUST_ID_058,Montana,PROD_ID_005,Low,1830, $5.00 , $7.00 ," $12,810.00 "," $12,681.90 "," $9,150.00 "," $3,531.90 ",8/1/2019,8,Aug,2019
Small Business,USA,CUST_ID_059,Montana,PROD_ID_001,Low,2498, $5.00 , $300.00 ," $749,400.00 "," $741,906.00 "," $624,500.00 "," $117,406.00 ",9/1/2018,9,Sep,2018
Enterprise,USA,CUST_ID_060,Montana,PROD_ID_002,Low,663, $5.00 , $125.00 ," $82,875.00 "," $82,046.25 "," $79,560.00 "," $2,486.25 ",10/1/2018,10,Oct,2018
Midmarket,USA,CUST_ID_027,Paseo,PROD_ID_002,Low,1514, $10.00 , $15.00 ," $22,710.00 "," $22,482.90 "," $15,140.00 "," $7,342.90 ",2/1/2019,2,Feb,2019
Government,USA,CUST_ID_061,Paseo,PROD_ID_003,Low,4493, $10.00 , $7.00 ," $31,447.50 "," $31,133.03 "," $22,462.50 "," $8,670.53 ",4/1/2019,4,Apr,2019
Enterprise,USA,CUST_ID_054,Paseo,PROD_ID_003,Low,727, $10.00 , $125.00 ," $90,875.00 "," $89,966.25 "," $87,240.00 "," $2,726.25 ",6/1/2019,6,Jun,2019
Enterprise,France,CUST_ID_062,Paseo,PROD_ID_004,Low,787, $10.00 , $125.00 ," $98,375.00 "," $97,391.25 "," $94,440.00 "," $2,951.25 ",6/1/2019,6,Jun,2019
Enterprise,Mexico,CUST_ID_034,Paseo,PROD_ID_004,Low,1823, $10.00 , $125.00 ," $227,875.00 "," $225,596.25 "," $218,760.00 "," $6,836.25 ",7/1/2019,7,Jul,2019
Midmarket,Germany,CUST_ID_063,Paseo,PROD_ID_004,Low,747, $10.00 , $15.00 ," $11,205.00 "," $11,092.95 "," $7,470.00 "," $3,622.95 ",9/1/2019,9,Sep,2019
Channel Partners,Germany,CUST_ID_064,Paseo,PROD_ID_006,Low,766, $10.00 , $12.00 ," $9,192.00 "," $9,100.08 "," $2,298.00 "," $6,802.08 ",10/1/2018,10,Oct,2018
Small Business,USA,CUST_ID_065,Paseo,PROD_ID_006,Low,2905, $10.00 , $300.00 ," $871,500.00 "," $862,785.00 "," $726,250.00 "," $136,535.00 ",11/1/2019,11,Nov,2019
Government,France,CUST_ID_065,Paseo,PROD_ID_006,Low,2155, $10.00 , $350.00 ," $754,250.00 "," $746,707.50 "," $560,300.00 "," $186,407.50 ",12/1/2019,12,Dec,2019
Government,France,CUST_ID_059,Velo,PROD_ID_001,Low,3864, $120.00 , $20.00 ," $77,280.00 "," $76,507.20 "," $38,640.00 "," $37,867.20 ",4/1/2019,4,Apr,2019
Government,Mexico,CUST_ID_052,Velo,PROD_ID_002,Low,362, $120.00 , $7.00 ," $2,534.00 "," $2,508.66 "," $1,810.00 ", $698.66 ,5/1/2019,5,May,2019
Enterprise,Canada,CUST_ID_066,Velo,PROD_ID_005,Low,923, $120.00 , $125.00 ," $115,375.00 "," $114,221.25 "," $110,760.00 "," $3,461.25 ",8/1/2019,8,Aug,2019
Enterprise,USA,CUST_ID_052,Velo,PROD_ID_002,Low,663, $120.00 , $125.00 ," $82,875.00 "," $82,046.25 "," $79,560.00 "," $2,486.25 ",10/1/2018,10,Oct,2018
Government,Canada,CUST_ID_067,Velo,PROD_ID_004,Low,2092, $120.00 , $7.00 ," $14,644.00 "," $14,497.56 "," $10,460.00 "," $4,037.56 ",11/1/2018,11,Nov,2018
Government,Germany,CUST_ID_068,VTT,PROD_ID_001,Low,263, $250.00 , $7.00 ," $1,841.00 "," $1,822.59 "," $1,315.00 ", $507.59 ,3/1/2019,3,Mar,2019
Government,Canada,CUST_ID_026,VTT,PROD_ID_002,Low,944, $250.00 , $350.00 ," $330,225.00 "," $326,922.75 "," $245,310.00 "," $81,612.75 ",4/1/2019,4,Apr,2019
Enterprise,USA,CUST_ID_069,VTT,PROD_ID_002,Low,727, $250.00 , $125.00 ," $90,875.00 "," $89,966.25 "," $87,240.00 "," $2,726.25 ",6/1/2019,6,Jun,2019
Enterprise,France,CUST_ID_070,VTT,PROD_ID_002,Low,787, $250.00 , $125.00 ," $98,375.00 "," $97,391.25 "," $94,440.00 "," $2,951.25 ",6/1/2019,6,Jun,2019
Small Business,Germany,CUST_ID_071,VTT,PROD_ID_002,Low,986, $250.00 , $300.00 ," $295,800.00 "," $292,842.00 "," $246,500.00 "," $46,342.00 ",9/1/2019,9,Sep,2019
Small Business,Mexico,CUST_ID_072,VTT,PROD_ID_002,Low,494, $250.00 , $300.00 ," $148,200.00 "," $146,718.00 "," $123,500.00 "," $23,218.00 ",10/1/2018,10,Oct,2018
Government,Mexico,CUST_ID_041,VTT,PROD_ID_003,Low,1397, $250.00 , $350.00 ," $488,950.00 "," $484,060.50 "," $363,220.00 "," $120,840.50 ",10/1/2019,10,Oct,2019
Enterprise,France,CUST_ID_028,VTT,PROD_ID_003,Low,1744, $250.00 , $125.00 ," $218,000.00 "," $215,820.00 "," $209,280.00 "," $6,540.00 ",11/1/2019,11,Nov,2019
Channel Partners,USA,CUST_ID_073,Amarilla,PROD_ID_006,Low,1989, $260.00 , $12.00 ," $23,868.00 "," $23,629.32 "," $5,967.00 "," $17,662.32 ",9/1/2018,9,Sep,2018
Midmarket,France,CUST_ID_074,Amarilla,PROD_ID_001,Low,321, $260.00 , $15.00 ," $4,815.00 "," $4,766.85 "," $3,210.00 "," $1,556.85 ",11/1/2018,11,Nov,2018
Enterprise,Canada,CUST_ID_072,Carretera,PROD_ID_002,Low,743, $3.00 , $125.00 ," $92,812.50 "," $90,956.25 "," $89,100.00 "," $1,856.25 ",4/1/2019,4,Apr,2019
Channel Partners,Canada,CUST_ID_072,Carretera,PROD_ID_002,Low,1295, $3.00 , $12.00 ," $15,540.00 "," $15,229.20 "," $3,885.00 "," $11,344.20 ",10/1/2019,10,Oct,2019
Small Business,Germany,CUST_ID_040,Carretera,PROD_ID_002,Low,214, $3.00 , $300.00 ," $64,200.00 "," $62,916.00 "," $53,500.00 "," $9,416.00 ",10/1/2018,10,Oct,2018
Government,France,CUST_ID_061,Carretera,PROD_ID_003,Low,2145, $3.00 , $7.00 ," $15,015.00 "," $14,714.70 "," $10,725.00 "," $3,989.70 ",11/1/2018,11,Nov,2018
Government,Canada,CUST_ID_075,Carretera,PROD_ID_004,Low,2852, $3.00 , $350.00 ," $998,200.00 "," $978,236.00 "," $741,520.00 "," $236,716.00 ",12/1/2019,12,Dec,2019
Channel Partners,USA,CUST_ID_076,Montana,PROD_ID_006,Low,1142, $5.00 , $12.00 ," $13,704.00 "," $13,429.92 "," $3,426.00 "," $10,003.92 ",6/1/2019,6,Jun,2019
Government,USA,CUST_ID_077,Montana,PROD_ID_005,Low,1566, $5.00 , $20.00 ," $31,320.00 "," $30,693.60 "," $15,660.00 "," $15,033.60 ",10/1/2019,10,Oct,2019
Channel Partners,Mexico,CUST_ID_078,Montana,PROD_ID_001,Low,690, $5.00 , $12.00 ," $8,280.00 "," $8,114.40 "," $2,070.00 "," $6,044.40 ",11/1/2019,11,Nov,2019
Enterprise,Mexico,CUST_ID_079,Montana,PROD_ID_001,Low,1660, $5.00 , $125.00 ," $207,500.00 "," $203,350.00 "," $199,200.00 "," $4,150.00 ",11/1/2018,11,Nov,2018
Midmarket,Canada,CUST_ID_043,Paseo,PROD_ID_001,Low,2363, $10.00 , $15.00 ," $35,445.00 "," $34,736.10 "," $23,630.00 "," $11,106.10 ",2/1/2019,2,Feb,2019
Small Business,France,CUST_ID_080,Paseo,PROD_ID_001,Low,918, $10.00 , $300.00 ," $275,400.00 "," $269,892.00 "," $229,500.00 "," $40,392.00 ",5/1/2019,5,May,2019
Small Business,Germany,CUST_ID_071,Paseo,PROD_ID_002,Low,1728, $10.00 , $300.00 ," $518,400.00 "," $508,032.00 "," $432,000.00 "," $76,032.00 ",5/1/2019,5,May,2019
Channel Partners,USA,CUST_ID_014,Paseo,PROD_ID_002,Low,1142, $10.00 , $12.00 ," $13,704.00 "," $13,429.92 "," $3,426.00 "," $10,003.92 ",6/1/2019,6,Jun,2019
Enterprise,Mexico,CUST_ID_081,Paseo,PROD_ID_004,Low,662, $10.00 , $125.00 ," $82,750.00 "," $81,095.00 "," $79,440.00 "," $1,655.00 ",6/1/2019,6,Jun,2019
Channel Partners,Canada,CUST_ID_082,Paseo,PROD_ID_006,Low,1295, $10.00 , $12.00 ," $15,540.00 "," $15,229.20 "," $3,885.00 "," $11,344.20 ",10/1/2019,10,Oct,2019
Enterprise,Germany,CUST_ID_008,Paseo,PROD_ID_004,Low,809, $10.00 , $125.00 ," $101,125.00 "," $99,102.50 "," $97,080.00 "," $2,022.50 ",10/1/2018,10,Oct,2018
Enterprise,Mexico,CUST_ID_083,Paseo,PROD_ID_006,Low,2145, $10.00 , $125.00 ," $268,125.00 "," $262,762.50 "," $257,400.00 "," $5,362.50 ",10/1/2018,10,Oct,2018
Channel Partners,France,CUST_ID_084,Paseo,PROD_ID_005,Low,1785, $10.00 , $12.00 ," $21,420.00 "," $20,991.60 "," $5,355.00 "," $15,636.60 ",11/1/2018,11,Nov,2018
Small Business,Canada,CUST_ID_005,Paseo,PROD_ID_002,Low,1916, $10.00 , $300.00 ," $574,800.00 "," $563,304.00 "," $479,000.00 "," $84,304.00 ",12/1/2019,12,Dec,2019
Government,Canada,CUST_ID_085,Paseo,PROD_ID_005,Low,2852, $10.00 , $350.00 ," $998,200.00 "," $978,236.00 "," $741,520.00 "," $236,716.00 ",12/1/2019,12,Dec,2019
Enterprise,Canada,CUST_ID_013,Paseo,PROD_ID_001,Low,2729, $10.00 , $125.00 ," $341,125.00 "," $334,302.50 "," $327,480.00 "," $6,822.50 ",12/1/2019,12,Dec,2019
Midmarket,USA,CUST_ID_002,Paseo,PROD_ID_002,Low,1925, $10.00 , $15.00 ," $28,875.00 "," $28,297.50 "," $19,250.00 "," $9,047.50 ",12/1/2018,12,Dec,2018
Government,USA,CUST_ID_086,Paseo,PROD_ID_003,Low,2013, $10.00 , $7.00 ," $14,091.00 "," $13,809.18 "," $10,065.00 "," $3,744.18 ",12/1/2018,12,Dec,2018
Channel Partners,France,CUST_ID_007,Paseo,PROD_ID_003,Low,1055, $10.00 , $12.00 ," $12,660.00 "," $12,406.80 "," $3,165.00 "," $9,241.80 ",12/1/2019,12,Dec,2019
Channel Partners,Mexico,CUST_ID_075,Paseo,PROD_ID_004,Low,1084, $10.00 , $12.00 ," $13,008.00 "," $12,747.84 "," $3,252.00 "," $9,495.84 ",12/1/2019,12,Dec,2019
Government,USA,CUST_ID_087,Velo,PROD_ID_004,Low,1566, $120.00 , $20.00 ," $31,320.00 "," $30,693.60 "," $15,660.00 "," $15,033.60 ",10/1/2019,10,Oct,2019
Government,Germany,CUST_ID_056,Velo,PROD_ID_004,Low,2966, $120.00 , $350.00 ," $1,038,100.00 "," $1,017,338.00 "," $771,160.00 "," $246,178.00 ",10/1/2018,10,Oct,2018
Government,Germany,CUST_ID_088,Velo,PROD_ID_005,Low,2877, $120.00 , $350.00 ," $1,006,950.00 "," $986,811.00 "," $748,020.00 "," $238,791.00 ",10/1/2019,10,Oct,2019
Enterprise,Germany,CUST_ID_025,Velo,PROD_ID_002,Low,809, $120.00 , $125.00 ," $101,125.00 "," $99,102.50 "," $97,080.00 "," $2,022.50 ",10/1/2018,10,Oct,2018
Enterprise,Mexico,CUST_ID_089,Velo,PROD_ID_004,Low,2145, $120.00 , $125.00 ," $268,125.00 "," $262,762.50 "," $257,400.00 "," $5,362.50 ",10/1/2018,10,Oct,2018
Channel Partners,France,CUST_ID_090,Velo,PROD_ID_005,Low,1055, $120.00 , $12.00 ," $12,660.00 "," $12,406.80 "," $3,165.00 "," $9,241.80 ",12/1/2019,12,Dec,2019
Government,Mexico,CUST_ID_066,Velo,PROD_ID_005,Low,544, $120.00 , $20.00 ," $10,880.00 "," $10,662.40 "," $5,440.00 "," $5,222.40 ",12/1/2018,12,Dec,2018
Channel Partners,Mexico,CUST_ID_037,Velo,PROD_ID_001,Low,1084, $120.00 , $12.00 ," $13,008.00 "," $12,747.84 "," $3,252.00 "," $9,495.84 ",12/1/2019,12,Dec,2019
Enterprise,Mexico,CUST_ID_072,VTT,PROD_ID_002,Low,662, $250.00 , $125.00 ," $82,750.00 "," $81,095.00 "," $79,440.00 "," $1,655.00 ",6/1/2019,6,Jun,2019
Small Business,Germany,CUST_ID_054,VTT,PROD_ID_003,Low,214, $250.00 , $300.00 ," $64,200.00 "," $62,916.00 "," $53,500.00 "," $9,416.00 ",10/1/2018,10,Oct,2018
Government,Germany,CUST_ID_091,VTT,PROD_ID_003,Low,2877, $250.00 , $350.00 ," $1,006,950.00 "," $986,811.00 "," $748,020.00 "," $238,791.00 ",10/1/2019,10,Oct,2019
Enterprise,Canada,CUST_ID_031,VTT,PROD_ID_003,Low,2729, $250.00 , $125.00 ," $341,125.00 "," $334,302.50 "," $327,480.00 "," $6,822.50 ",12/1/2019,12,Dec,2019
Government,USA,CUST_ID_055,VTT,PROD_ID_004,Low,266, $250.00 , $350.00 ," $93,100.00 "," $91,238.00 "," $69,160.00 "," $22,078.00 ",12/1/2018,12,Dec,2018
